ros_time_sec,run_id,random_seed,rx_index,target_id,nav_state,stage,tof_range,map_distance_before,range_residual,yaw_error_deg,prior_x,prior_y,measurement_x,measurement_y,post_x,post_y,kalman_gain_x,kalman_gain_y,innovation_xy,accepted,reason
1784368139.039462,direct1m_01,101,1686,1,APPROACH,TO_1M,7.533509,7.780163,0.066655,-0.104701,12.228090,-4.908316,12.177577,-4.862581,12.224300,-4.904885,0.075022,0.075022,0.068141,1,accepted
1784368139.113585,direct1m_01,101,1687,1,APPROACH,TO_1M,7.520621,7.762318,0.061697,-0.115328,12.224300,-4.904885,12.178795,-4.860411,12.220888,-4.901550,0.074993,0.074993,0.063629,1,accepted
1784368139.199935,direct1m_01,101,1688,1,APPROACH,TO_1M,7.532900,7.744367,0.031466,-0.131449,12.220888,-4.901550,12.202615,-4.870395,12.219502,-4.899188,0.075820,0.075820,0.036118,1,accepted
1784368139.271280,direct1m_01,101,1689,1,APPROACH,TO_1M,7.637621,7.732930,0.084691,-0.138876,12.219502,-4.899188,12.302170,-4.925528,12.225742,-4.901176,0.075483,0.075483,0.086763,1,accepted
1784368139.343620,direct1m_01,101,1690,1,APPROACH,TO_1M,7.549860,7.729143,0.000717,-0.148528,12.225742,-4.901176,12.236452,-4.884225,12.226548,-4.899900,0.075257,0.075257,0.020050,1,accepted
1784368139.449309,direct1m_01,101,1691,1,APPROACH,TO_1M,7.546094,7.716096,0.009997,-0.161463,12.226548,-4.899900,12.246147,-4.886143,12.228065,-4.898835,0.077397,0.077397,0.023945,1,accepted
1784368139.517171,direct1m_01,101,1692,1,APPROACH,TO_1M,7.531765,7.707336,0.004430,-0.161752,12.228065,-4.898835,12.242863,-4.882271,12.229199,-4.897567,0.076586,0.076586,0.022211,1,accepted
1784368139.585928,direct1m_01,101,1693,1,APPROACH,TO_1M,7.515837,7.696270,0.000433,-0.160482,12.229199,-4.897567,12.239697,-4.878735,12.229996,-4.896137,0.075955,0.075955,0.021560,1,accepted
1784368139.672128,direct1m_01,101,1694,1,APPROACH,TO_1M,7.496975,7.681474,0.004499,-0.158570,12.229996,-4.896137,12.236839,-4.875519,12.230520,-4.894557,0.076633,0.076633,0.021724,1,accepted
1784368139.722230,direct1m_01,101,1695,1,APPROACH,TO_1M,7.474978,7.670580,0.015602,-0.151179,12.230520,-4.894557,12.227265,-4.869227,12.230277,-4.892665,0.074694,0.074694,0.025538,1,accepted
1784368139.788756,direct1m_01,101,1696,1,APPROACH,TO_1M,7.451488,7.657294,0.025807,-0.146397,12.230277,-4.892665,12.217878,-4.862769,12.229357,-4.890447,0.074180,0.074180,0.032365,1,accepted
1784368139.854875,direct1m_01,101,1697,1,APPROACH,TO_1M,7.512565,7.644992,0.047572,-0.141568,12.229357,-4.890447,12.279981,-4.898154,12.233089,-4.891015,0.073711,0.073711,0.051207,1,accepted
1784368139.943349,direct1m_01,101,1698,1,APPROACH,TO_1M,7.488256,7.633967,0.034288,-0.141883,12.233089,-4.891015,12.272251,-4.892028,12.236021,-4.891091,0.074875,0.074875,0.039175,1,accepted
1784368140.013942,direct1m_01,101,1699,1,APPROACH,TO_1M,7.462013,7.625366,0.016647,-0.135664,12.236021,-4.891091,12.259530,-4.883937,12.237775,-4.890557,0.074620,0.074620,0.024573,1,accepted
1784368140.086367,direct1m_01,101,1700,1,APPROACH,TO_1M,7.468617,7.617378,0.031239,-0.131229,12.237775,-4.890557,12.273566,-4.891316,12.240443,-4.890614,0.074531,0.074531,0.035798,1,accepted
1784368140.167114,direct1m_01,101,1701,1,APPROACH,TO_1M,7.405385,7.609626,0.024241,-0.127820,12.240443,-4.890614,12.228142,-4.863714,12.239520,-4.888595,0.075035,0.075035,0.029579,1,accepted
1784368140.238028,direct1m_01,101,1702,1,APPROACH,TO_1M,7.414405,7.595408,0.001003,-0.123159,12.239520,-4.888595,12.246938,-4.874018,12.240075,-4.887505,0.074780,0.074780,0.016356,1,accepted
1784368140.308293,direct1m_01,101,1703,1,APPROACH,TO_1M,7.413795,7.586429,0.007366,-0.116999,12.240075,-4.887505,12.254288,-4.877889,12.241134,-4.886789,0.074515,0.074515,0.017161,1,accepted
1784368140.553957,direct1m_01,101,1704,1,APPROACH,TO_1M,7.375484,7.552473,0.003012,-0.114511,12.241134,-4.886789,12.251403,-4.875320,12.242021,-4.885798,0.086399,0.086399,0.015395,1,accepted
1784368140.644390,direct1m_01,101,1705,1,APPROACH,TO_1M,7.356122,7.540693,0.004571,-0.103994,12.242021,-4.885798,12.245045,-4.871692,12.242280,-4.884588,0.085740,0.085740,0.014426,1,accepted
1784368140.724117,direct1m_01,101,1706,1,APPROACH,TO_1M,7.399903,7.524934,0.054969,-0.092359,12.242280,-4.884588,12.295793,-4.902088,12.246800,-4.886066,0.084457,0.084457,0.056301,1,accepted
1784368140.794269,direct1m_01,101,1707,1,APPROACH,TO_1M,7.329676,7.518748,0.009072,-0.082055,12.246800,-4.886066,12.244472,-4.872185,12.246607,-4.884918,0.082725,0.082725,0.014075,1,accepted
1784368140.867116,direct1m_01,101,1708,1,APPROACH,TO_1M,7.279162,7.505751,0.046589,-0.075015,12.246607,-4.884918,12.211508,-4.852753,12.243748,-4.882298,0.081448,0.081448,0.047608,1,accepted
1784368140.943128,direct1m_01,101,1709,1,APPROACH,TO_1M,7.280268,7.486810,0.026542,-0.067000,12.243748,-4.882298,12.225369,-4.861249,12.242267,-4.880602,0.080589,0.080589,0.027944,1,accepted
1784368141.008270,direct1m_01,101,1710,1,APPROACH,TO_1M,7.307009,7.474266,0.012743,-0.063513,12.242267,-4.880602,12.257458,-4.879968,12.243469,-4.880552,0.079112,0.079112,0.015204,1,accepted
1784368141.083426,direct1m_01,101,1711,1,APPROACH,TO_1M,7.251318,7.463733,0.032414,-0.062288,12.243469,-4.880552,12.219722,-4.857050,12.241604,-4.878706,0.078551,0.078551,0.033410,1,accepted
1784368141.160669,direct1m_01,101,1712,1,APPROACH,TO_1M,7.253568,7.451324,0.017756,-0.062426,12.241604,-4.878706,12.230473,-4.862671,12.240733,-4.877451,0.078217,0.078217,0.019520,1,accepted
1784368141.244644,direct1m_01,101,1713,1,APPROACH,TO_1M,7.280431,7.436059,0.024372,-0.063815,12.240733,-4.877451,12.265924,-4.882761,12.242708,-4.877868,0.078401,0.078401,0.025745,1,accepted
1784368141.303796,direct1m_01,101,1714,1,APPROACH,TO_1M,7.288910,7.426841,0.042069,-0.063139,12.242708,-4.877868,12.283069,-4.892294,12.245809,-4.878976,0.076837,0.076837,0.042862,1,accepted
1784368141.378745,direct1m_01,101,1715,1,APPROACH,TO_1M,7.276243,7.420265,0.035978,-0.063698,12.245809,-4.878976,12.280964,-4.890243,12.248502,-4.879839,0.076601,0.076601,0.036916,1,accepted
