timestamp_ros_sec,run_id,random_seed,scan_generation,queue_position,target_id,target_state,verification_stage,drone_x_enu,drone_y_enu,drone_altitude,estimate_x_enu,estimate_y_enu,estimate_x_visual,estimate_y_visual,actual_x_visual,actual_y_visual,tof_distance,actual_visit_distance,position_error,visited_correct,kalman_gain_x,kalman_gain_y,kalman_updates
1784429150.180116,depth321_fix_01,101,1,1,1,visited,TO_3M,11.238951,-4.161370,0.717316,12.734195,-4.504522,-12.265805,-4.504522,-12.000000,-4.000000,1.175399,1.768427,0.570258,0,0.073749,0.073749,1498
1784429345.900125,depth321_fix_01,101,2,2,0,visited,TO_3M,12.945941,2.295922,0.719116,13.307077,3.623557,-11.692923,3.623557,-12.000000,4.000000,1.187369,1.704935,0.485804,0,0.073739,0.073739,1443
1784429604.227686,depth321_fix_01,101,3,3,3,visited,TO_3M,20.684830,10.286125,0.718445,21.237014,11.555457,-3.762986,11.555457,-4.000000,12.000000,1.197440,1.742613,0.503780,0,0.075607,0.075607,1480
1784429793.477394,depth321_fix_01,101,4,4,4,visited,TO_3M,14.654533,11.793999,0.720306,13.327591,12.167014,-11.672409,12.167014,-12.000000,12.000000,1.204145,1.667308,0.367709,0,0.075270,0.075270,1342
1784430195.878197,depth321_fix_01,101,5,5,5,visited,TO_3M,12.744564,-10.314805,0.713379,12.651213,-11.701735,-12.348787,-11.701735,-12.000000,-12.000000,1.193386,1.704444,0.458927,0,0.075497,0.075497,1261
1784430398.179945,depth321_fix_01,101,6,1,10,visited,TO_3M,19.581797,-5.034087,0.712189,20.888602,-4.554605,-4.111398,-4.554605,-4.000000,-4.000000,1.214750,1.755174,0.565682,0,0.076631,0.076631,817
1784430764.228308,depth321_fix_01,101,7,2,11,visited,TO_3M,35.810679,10.694641,0.717865,36.898635,11.582269,11.898635,11.582269,12.000000,12.000000,1.205351,1.765913,0.429853,0,0.075404,0.075404,1399
1784430950.831711,depth321_fix_01,101,8,3,9,visited,TO_3M,30.526690,11.670377,0.708984,29.311968,12.032028,4.311968,12.032028,4.000000,12.000000,1.097954,1.561868,0.313608,0,0.074915,0.074915,1319
1784431356.327569,depth321_fix_01,101,9,4,8,visited,TO_3M,28.965086,-10.277697,0.722015,28.588618,-11.684978,3.588618,-11.684978,4.000000,-12.000000,1.213212,1.722657,0.518145,0,0.072584,0.072584,1262
1784431592.830084,depth321_fix_01,101,10,5,2,visited,TO_3M,22.097290,2.686914,0.711273,21.365611,3.827809,-3.634389,3.827809,-4.000000,4.000000,1.178194,1.711211,0.404130,0,0.074481,0.074481,1578
1784431774.729020,depth321_fix_01,101,11,6,7,visited,TO_3M,27.358248,3.342219,0.718384,28.616199,3.699860,3.616199,3.699860,4.000000,4.000000,1.128276,1.768622,0.487224,0,0.076581,0.076581,1381
1784432028.328937,depth321_fix_01,101,12,7,6,visited,TO_3M,21.132588,-10.335105,0.720520,20.791982,-11.652838,-4.208018,-11.652838,-4.000000,-12.000000,1.172378,1.670166,0.404714,0,0.075297,0.075297,1601
1784432229.981410,depth321_fix_01,101,13,8,15,visited,TO_3M,27.721779,-5.218464,0.726257,28.782430,-4.343136,3.782430,-4.343136,4.000000,-4.000000,1.196172,1.765928,0.406299,0,0.074112,0.074112,1493
1784432469.077242,depth321_fix_01,101,14,1,14,visited,TO_3M,35.417292,-4.819832,0.729431,36.582342,-4.315666,11.582342,-4.315666,12.000000,-4.000000,1.080411,1.782439,0.523530,0,0.075565,0.075565,1426
1784432650.777678,depth321_fix_01,101,15,2,13,visited,TO_3M,36.123362,-10.513171,0.732605,36.541135,-11.815113,11.541135,-11.815113,12.000000,-12.000000,1.202002,1.726023,0.494712,0,0.075197,0.075197,1381
1784432931.227031,depth321_fix_01,101,16,3,20,visited,TO_3M,36.824416,2.281769,0.728821,37.142680,3.565432,12.142680,3.565432,12.000000,4.000000,1.108186,1.727179,0.457391,0,0.074609,0.074609,1493
1784537721.201968,depth321_fix_01,101,1,1,0,visited,TO_3M,11.262231,-4.093740,0.734467,12.661555,-4.408242,-12.338445,-4.408242,-12.000000,-4.000000,1.224703,1.740295,0.530289,0,0.075430,0.075430,1520
