timestamp_ros_sec,run_id,random_seed,scan_generation,queue_position,target_id,target_state,verification_stage,drone_x_enu,drone_y_enu,drone_altitude,estimate_x_enu,estimate_y_enu,estimate_x_visual,estimate_y_visual,actual_x_visual,actual_y_visual,tof_distance,actual_visit_distance,position_error,visited_correct,kalman_gain_x,kalman_gain_y,kalman_updates
1784632606.909025,depth_direct_fix_01,101,11,5,13,visited,TO_3M,27.703133,-2.886743,0.730164,28.593557,-3.786781,3.593557,-3.786781,4.000000,-4.000000,1.063742,1.709153,0.458975,0,0.075430,0.075430,1071
1784632813.258011,depth_direct_fix_01,101,12,6,8,visited,TO_3M,35.371279,-3.554487,0.726776,36.524814,-4.014904,11.524814,-4.014904,12.000000,-4.000000,1.061079,1.688553,0.475420,0,0.074152,0.074152,878
1784632989.909082,depth_direct_fix_01,101,13,7,15,visited,TO_3M,29.599950,-10.594814,0.728821,28.921966,-11.651589,3.921966,-11.651589,4.000000,-12.000000,1.076752,1.527903,0.357043,0,0.076563,0.076563,1090
1784633231.110174,depth_direct_fix_01,101,14,8,10,visited,TO_3M,29.537160,2.585243,0.724243,29.114005,3.756120,4.114005,3.756120,4.000000,4.000000,1.079572,1.513300,0.269211,0,0.075218,0.075218,963
1784633386.559928,depth_direct_fix_01,101,15,1,22,visited,TO_3M,35.467051,3.369125,0.717712,36.643094,3.817619,11.643094,3.817619,12.000000,4.000000,1.070448,1.657690,0.400805,0,0.074487,0.074487,922
1784633632.973776,depth_direct_fix_01,101,16,2,25,visited,TO_3M,36.083689,-10.569035,0.726807,36.655954,-11.676933,11.655954,-11.676933,12.000000,-12.000000,1.064902,1.699202,0.471953,0,0.074818,0.074818,836
1784648550.005752,depth_direct_fix_01,101,1,1,0,visited,TO_3M,11.773534,2.921336,0.701630,12.818510,3.622433,-12.181490,3.622433,-12.000000,4.000000,1.083662,1.633321,0.418922,0,0.074818,0.074818,954
1784648692.004422,depth_direct_fix_01,101,2,2,1,visited,TO_3M,12.217958,-2.581976,0.715637,12.690164,-3.752865,-12.309836,-3.752865,-12.000000,-4.000000,1.082732,1.619377,0.396326,0,0.073254,0.073254,814
1784648905.006398,depth_direct_fix_01,101,3,3,2,visited,TO_3M,20.627873,10.436061,0.713287,21.019217,11.618936,-3.980783,11.618936,-4.000000,12.000000,1.063369,1.607602,0.381548,0,0.075817,0.075817,954
1784649280.056788,depth_direct_fix_01,101,4,4,4,visited,TO_3M,13.078901,-10.394635,0.724304,12.880325,-11.627144,-12.119675,-11.627144,-12.000000,-12.000000,1.042894,1.607303,0.391592,0,0.074815,0.074815,908
1784649629.305586,depth_direct_fix_01,101,5,5,3,visited,TO_3M,13.891607,10.626605,0.708344,13.314692,11.733808,-11.685308,11.733808,-12.000000,12.000000,1.059057,1.637430,0.412176,0,0.075220,0.075220,908
1784649799.856323,depth_direct_fix_01,101,6,1,5,visited,TO_3M,19.614420,4.801291,0.724762,20.589611,3.999656,-4.410389,3.999656,-4.000000,4.000000,1.077282,1.600593,0.410389,0,0.074256,0.074256,1011
